slot,front_sig,front_signer_site,front_sell_amount_site,front_buy_amount_site,back_sig,back_signer_site,back_sell_amount_site,back_buy_amount_site,front_signer_db,front_sell_amount_db,front_buy_amount_db,back_signer_db,back_sell_amount_db,back_buy_amount_db,status,same_signer,profit,relative_amount_diff,,,,,
377239120,3xiAR2W2adLG7z4rEwRHPdP3hkJrmmQNXze1xaD1NYdzwz8eT6vHFxN9ufyGE6w48WUzHqEtP58yuPq2VQD7jb5o,JD4fAf,549524.52,0.81,7gVadtqMEctbSPkKmgAEnvuBCXMr5XqhfvUnYtvdqM9TRF9n2A9uKr1EGCi1CPkFWaoj6EdzPp5fnTaPxMvSPLo,JD4fAf,0.768,5343855,nan,0,0,nan,0,0,site_only,TRUE,4794330.48,0.051851852,,,,,
377239947,5warPC1QwSvMZa7Y3XaHgLMtsz72Pk2u7vaqsoMmJ2bF6KQpHh5VUcXWodGNDmTuBTVEHcRbMEJ4u61o24n7V6d5,5BT6o2,20520.637,4.385,4Aka2FB7TrGwJWxRKApsKvQNdsSECdqLwHrVd4MCihcQZGWj75YmEF4x7redxPNCwCPMzdw5TfQWxXBLi5PYMxJW,5BT6o2,4.099,21982.61,nan,0,0,nan,0,0,site_only,TRUE,1461.973,0.065222349,,,,,
377242987,4RXtMx4xt22LP385taPLa1zuPLnawGXkL7ikK72KnaLKnk64NoEdWw1BdgYj3zUe1r7LLJWak9vaoUEHbu7WfcRi,37HADc,34424.708,3.066,2JD6mCfpcpVzSjSM83QC9dX1cKLTyUgUQmz9A2xd8oP3hWSNffQkCPmtXKwtCbp74gL1N8Em3T8Wg9sFpmnSwPnc,37HADc,2.396,34530.633,nan,0,0,nan,0,0,site_only,TRUE,105.925,0.218525766,,,,,
377245259,2YvTxzBQBWqpetSa8gsQWCyb7WdSQc3Fy63VMTpi3hebGynHMVimavaHi78P8sHE4c1U9mgWvxn56u2sfPXQuAue,7vD2PR,764568,0.279,AxXo7bvTLHTvCEcdXwdL7DvaUmN1oJ6HhTeN8csa8hJ3gGEdzyHq4nshqbMhdEDK1fZqsXtaygouCw8CVTizYeE,7vD2PR,0.265,795646,nan,0,0,nan,0,0,site_only,TRUE,31078,0.050179211,,,,,
377245473,ptCamWRKwmvNPwXacRoFynX4j6uqD9S3wAWYGEL1HsBRKDdeEwkMsn8eH9bYhuhni6kY1vbvLwy6AnKW5gieXGv,37HADc,93312.795,4.613,3bCDkThQZ4yAfkTDK6SS5kADyt5qLBM2EdPuTu44nySn3SiH6xn5gqvgVrk8jViM5LbPYQtkMMCDcSGvUUx99JUe,37HADc,3.951,110455.26,nan,0,0,nan,0,0,site_only,TRUE,17142.465,0.143507479,,,,,
377245541,KyhmHH8s9v814bKpeVMdR8a4B8E26UCZRvrDbxBgJH66AKjXhM9fYegdQybdh4dL73yjXZ4eLyHKBDo4dNyVw5F,483Tbi,3.411,100305.6,4nwUPHX9TbPcpsWfLohSPzHDEUVvfK1xw5T8i6vZhNBSaekbbsbTcE5FcXwHmWdYUJMCtuB9NcoRBaHPqKsqSAzx,483Tbi,90613.733,3.549,nan,0,0,nan,0,0,site_only,TRUE,0.138,0.096623389,,,,,
377247789,33rLZCaTzhfop5cFHxgaAiXHxSnNjNgvYCSW9voNfUoKNavYtwVD6nbMF1goU1BLi99MJzwDEKsGdxHzaNxCYWL,7dXuES,1.975,66285714,4dwnpK7CYo23oGzR9BcUvpBifzHZwdPpDZXbpjxow8ptZLeF2tTiqiBgocstPNah1Azm1EhPXghP3hsBBpw4JHBj,7dXuES,66285714,2.051,nan,0,0,nan,0,0,site_only,TRUE,0.076,0,,,,,
377249124,2h4FpCVzYwXojzhwRPmN32v1drqaUyLjCRByj1ymEuE1A8jdwx6zvUwtjHWZ5NidyKre99osWTuwoESVWN9wUYiH,GUnYMn,4.925,134380372,3891n3mTZ7vqvcmkSgxkFgFMgPwYUomYijcnDjzKJi26DVLZCeqVJcBWNpJ6PrRVvenew1x5JS3ufyD7kpQ23PqQ,GUnYMn,94066260,5.242,nan,0,0,nan,0,0,site_only,TRUE,0.317,0.300000003,,,,,
377250182,4LeQTPiMH9VpiXgEfGhNcuR3tnVVuhSbAzmenSMjKCR5gStMMZdcimmnvNVx4nzKpRwx8RGZVubrhY2TwvzoxTza,9kXLYq,0.988,34199203,5GuNMNVcqe7k6AVQr3QBMgZ3ckJPRvBi4cWfiNnnHXcMgjiCuT9cNMRBpzSo7CTuAkeWrQcqmAwGMJuo2UiBFVVM,9kXLYq,34199203,1.051,nan,0,0,nan,0,0,site_only,TRUE,0.063,0,,,,,
377250517,tF7n4NvEWtx7RSe75jDFW66vpC9rM6MiLDDbXx1u87avXBEtTvdoEswmAaEb1oZxghqY2jaMmKj8Jp3fi1AfnE3,5Lc4y8,1.396,519675.62,4BN3MrDSBp5pkWUS1gC564rbYcrJaL7snXHBgrYfaNbCSf1s9xe4qascBL94dYniWWvsKc54tnXZsFkTVUPAkiwy,5Lc4y8,429477.91,1.62,nan,0,0,nan,0,0,site_only,TRUE,0.224,0.173565406,,,,,
